ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,13620,8,ANANTRAJ,ANANTRAJ-EQ,EQ,ANANTRAJ-EQ,1100100013620,58.65,53.15,1788873,0.05,1
NSECM,31409,8,MTEDUCARE,MTEDUCARE-EQ,EQ,MTEDUCARE-EQ,1100100031409,9.35,6.25,2361857,0.05,1
NSECM,14582,8,SRHHYPOLTD,SRHHYPOLTD-EQ,EQ,SRHHYPOLTD-EQ,1100100014582,335.6,223.8,357508,0.05,1
NSECM,7838,8,NETF,NETF-EQ,EQ,NETF-EQ,1100100007838,184.86,123.24,91874,0.01,1
NSECM,13648,8,TALBROAUTO,TALBROAUTO-EQ,EQ,TALBROAUTO-EQ,1100100013648,281.55,187.75,403702,0.05,1
NSECM,22,8,ACC,ACC-EQ,EQ,ACC-EQ,1100100000022,1943.8,1590.4,56523,0.05,1
NSECM,6286,8,GULPOLY,GULPOLY-EQ,EQ,GULPOLY-EQ,1100100006286,116.5,77.7,1029828,0.05,1
NSECM,1338,8,SDBL,SDBL-EQ,EQ,SDBL-EQ,1100100001338,38.75,25.85,2125099,0.05,1
NSECM,21713,8,LASA,LASA-EQ,EQ,LASA-EQ,1100100021713,79.9,53.3,1329996,0.05,1
NSECM,10993,8,INDORAMA,INDORAMA-EQ,EQ,INDORAMA-EQ,1100100010993,44.15,36.15,2490497,0.05,1
NSECM,5688,8,ARCHIES,ARCHIES-EQ,EQ,ARCHIES-EQ,1100100005688,12.85,10.55,1104605,0.05,1
NSECM,2183,8,SUNDARMHLD,SUNDARMHLD-EQ,EQ,SUNDARMHLD-EQ,1100100002183,95.85,63.95,1251442,0.05,1
NSECM,17376,8,EXCEL,EXCEL-EQ,EQ,EXCEL-EQ,1100100017376,2.85,2.65,3075315,0.05,1
NSECM,22602,8,PFS,PFS-EQ,EQ,PFS-EQ,1100100022602,24.75,16.55,4842174,0.05,1
NSECM,21508,8,COCHINSHIP,COCHINSHIP-EQ,EQ,COCHINSHIP-EQ,1100100021508,451.6,301.1,265580,0.05,1
NSECM,11735,8,GDL,GDL-EQ,EQ,GDL-EQ,1100100011735,201.4,164.8,546032,0.05,1
NSECM,11480,8,KRIDHANINF,KRIDHANINF-EQ,EQ,KRIDHANINF-EQ,1100100011480,4.25,3.85,3099280,0.05,1
NSECM,18292,8,IVZINGOLD,IVZINGOLD-EQ,EQ,IVZINGOLD-EQ,1100100018292,4789.7,3193.2,5139,0.05,1
NSECM,3834,8,BHARATRAS,BHARATRAS-EQ,EQ,BHARATRAS-EQ,1100100003834,11693.1,7795.4,10260,0.05,1
NSECM,3021,8,SOTL,SOTL-EQ,EQ,SOTL-EQ,1100100003021,1205.85,803.95,99510,0.05,1
NSECM,11452,8,CCL,CCL-EQ,EQ,CCL-EQ,1100100011452,299.4,199.6,400680,0.05,1
NSECM,9819,8,HAVELLS,HAVELLS-EQ,EQ,HAVELLS-EQ,1100100009819,1209.15,989.35,90771,0.05,1
NSECM,24217,8,IVZINNIFTY,IVZINNIFTY-EQ,EQ,IVZINNIFTY-EQ,1100100024217,1948.9,1299.28,556,0.01,1
NSECM,16292,8,PANACHE,PANACHE-EQ,EQ,PANACHE-EQ,1100100016292,64.6,43.1,392399,0.05,1
NSECM,17700,8,NETFLTGILT,NETFLTGILT-EQ,EQ,NETFLTGILT-EQ,1100100017700,26.25,17.51,425644,0.01,1
NSECM,29553,8,ICICINIFTY,ICICINIFTY-EQ,EQ,ICICINIFTY-EQ,1100100029553,191.82,127.88,625494,0.01,1
NSECM,11671,8,PRESSMN,PRESSMN-EQ,EQ,PRESSMN-EQ,1100100011671,28.55,19.05,767888,0.05,1
NSECM,21614,8,ABCAPITAL,ABCAPITAL-EQ,EQ,ABCAPITAL-EQ,1100100021614,153.45,102.35,780031,0.05,1
NSECM,1073,8,FOSECOIND,FOSECOIND-EQ,EQ,FOSECOIND-EQ,1100100001073,1470.5,980.4,81599,0.05,1
NSECM,19205,8,TMRVL,TMRVL-EQ,EQ,TMRVL-EQ,1100100019205,15.25,13.85,722101,0.05,1
NSECM,11677,8,INDOCO,INDOCO-EQ,EQ,INDOCO-EQ,1100100011677,357.3,238.2,335795,0.05,1
NSECM,8124,8,AJANTPHARM,AJANTPHARM-EQ,EQ,AJANTPHARM-EQ,1100100008124,2187.75,1458.55,54803,0.05,1
NSECM,4503,8,MPHASIS,MPHASIS-EQ,EQ,MPHASIS-EQ,1100100004503,1791.25,1465.65,61248,0.05,1
NSECM,2739,8,PRSMJOHNSN,PRSMJOHNSN-EQ,EQ,PRSMJOHNSN-EQ,1100100002739,137.55,91.75,871813,0.05,1
NSECM,17527,8,MAHASTEEL,MAHASTEEL-EQ,EQ,MAHASTEEL-EQ,1100100017527,100.35,66.95,482992,0.05,1
NSECM,21541,8,JUBLINDS,JUBLINDS-EQ,EQ,JUBLINDS-EQ,1100100021541,242.3,161.6,491517,0.05,1
