ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,52638,2,FINNIFTY,FINNIFTY2141516600CE,OPTIDX,FINNIFTY-OPTIDX,2110500052638,1794.55,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-15T14:30:00,16600,3
NSEFO,61872,2,BANKNIFTY,BANKNIFTY21MAY38300CE,OPTIDX,BANKNIFTY-OPTIDX,2114700061872,3574.2,320.6,2501,0.05,25,-1,Nifty Bank,2021-05-27T14:30:00,38300,3
NSEFO,45516,2,FINNIFTY,FINNIFTY21MAR16400PE,OPTIDX,FINNIFTY-OPTIDX,2108400045516,1270.85,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-25T14:30:00,16400,4
NSEFO,55981,2,BANKNIFTY,BANKNIFTY21JUN24000CE,OPTIDX,BANKNIFTY-OPTIDX,2117500055981,15925.5,8414.9,2501,0.05,25,-1,Nifty Bank,2021-06-24T14:30:00,24000,3
NSEFO,55107,2,NIFTY,NIFTY22JUN18000CE,OPTIDX,NIFTY-OPTIDX,2218100055107,1718.85,778.25,5001,0.05,75,-1,Nifty 50,2022-06-30T14:30:00,18000,3
NSEFO,63070,2,FINNIFTY,FINNIFTY21MAR11900PE,OPTIDX,FINNIFTY-OPTIDX,2108400063070,3.1,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-25T14:30:00,11900,4
NSEFO,49067,2,NIFTY,NIFTY21MAR13200PE,OPTIDX,NIFTY-OPTIDX,2108400049067,47.85,0.05,5001,0.05,75,-1,Nifty 50,2021-03-25T14:30:00,13200,4
NSEFO,45239,2,FINNIFTY,FINNIFTY2131018200CE,OPTIDX,FINNIFTY-OPTIDX,2106900045239,65.5,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-10T14:30:00,18200,3
NSEFO,38582,2,FINNIFTY,FINNIFTY2140112100PE,OPTIDX,FINNIFTY-OPTIDX,2109100038582,3.85,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-01T14:30:00,12100,4
NSEFO,43086,2,BANKNIFTY,BANKNIFTY2140835900PE,OPTIDX,BANKNIFTY-OPTIDX,2109800043086,3628.45,0.05,2501,0.05,25,-1,Nifty Bank,2021-04-08T14:30:00,35900,4
NSEFO,44895,2,BANKNIFTY,BANKNIFTY21MAR39800CE,OPTIDX,BANKNIFTY-OPTIDX,2108400044895,895.65,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,39800,3
NSEFO,59559,2,NIFTY,NIFTY2140113600PE,OPTIDX,NIFTY-OPTIDX,2109100059559,146.25,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,13600,4
NSEFO,47355,2,FINNIFTY,FINNIFTY2131020400PE,OPTIDX,FINNIFTY-OPTIDX,2106900047355,5541.2,2133.2,5001,0.05,40,-1,Nifty Fin Service,2021-03-10T14:30:00,20400,4
NSEFO,41518,2,BANKNIFTY,BANKNIFTY2150636900CE,OPTIDX,BANKNIFTY-OPTIDX,2112600041518,3917.9,219.3,2501,0.05,25,-1,Nifty Bank,2021-05-06T14:30:00,36900,3
NSEFO,35170,2,NIFTY,NIFTY21JUN12000PE,OPTIDX,NIFTY-OPTIDX,2117500035170,139.45,10.35,5001,0.05,75,-1,Nifty 50,2021-06-24T14:30:00,12000,4
NSEFO,43469,2,FINNIFTY,FINNIFTY2140818600CE,OPTIDX,FINNIFTY-OPTIDX,2109800043469,531.6,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-04-08T14:30:00,18600,3
NSEFO,47606,2,FINNIFTY,FINNIFTY2131018600PE,OPTIDX,FINNIFTY-OPTIDX,2106900047606,3726.25,356.75,5001,0.05,40,-1,Nifty Fin Service,2021-03-10T14:30:00,18600,4
NSEFO,60330,2,NIFTY,NIFTY2142216350PE,OPTIDX,NIFTY-OPTIDX,2111200060330,2267.15,567.15,5001,0.05,75,-1,Nifty 50,2021-04-22T14:30:00,16350,4
NSEFO,62932,2,FINNIFTY,FINNIFTY2131811700PE,OPTIDX,FINNIFTY-OPTIDX,2107700062932,3.05,0.05,5001,0.05,40,-1,Nifty Fin Service,2021-03-18T14:30:00,11700,4
NSEFO,41895,2,NIFTY,NIFTY2131015300CE,OPTIDX,NIFTY-OPTIDX,2106900041895,509.9,0.05,5001,0.05,75,-1,Nifty 50,2021-03-10T14:30:00,15300,3
NSEFO,41706,2,BANKNIFTY,BANKNIFTY21MAR37600CE,OPTIDX,BANKNIFTY-OPTIDX,2108400041706,1714.95,0.05,2501,0.05,25,-1,Nifty Bank,2021-03-25T14:30:00,37600,3
NSEFO,59616,2,NIFTY,NIFTY2140114400PE,OPTIDX,NIFTY-OPTIDX,2109100059616,486.05,0.05,5001,0.05,75,-1,Nifty 50,2021-04-01T14:30:00,14400,4
