ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize, LotSize
NSECM,13620,8,ANANTRAJ,ANANTRAJ-EQ,EQ,ANANTRAJ-EQ,1100100013620,59.85,54.15,1754347,0.05,1
NSECM,31409,8,MTEDUCARE,MTEDUCARE-EQ,EQ,MTEDUCARE-EQ,1100100031409,9.35,6.25,2361857,0.05,1
NSECM,7838,8,NETF,NETF-EQ,EQ,NETF-EQ,1100100007838,183.64,122.44,91874,0.01,1
NSECM,21713,8,LASA,LASA-EQ,EQ,LASA-EQ,1100100021713,78.75,52.55,1329996,0.05,1
NSECM,10993,8,INDORAMA,INDORAMA-EQ,EQ,INDORAMA-EQ,1100100010993,44.6,36.5,2465952,0.05,1
NSECM,3834,8,BHARATRAS,BHARATRAS-EQ,EQ,BHARATRAS-EQ,1100100003834,11620.4,7747,10324,0.05,1
NSECM,24217,8,IVZINNIFTY,IVZINNIFTY-EQ,EQ,IVZINNIFTY-EQ,1100100024217,1936.06,1290.72,556,0.01,1
NSECM,9819,8,HAVELLS,HAVELLS-EQ,EQ,HAVELLS-EQ,1100100009819,1197.25,979.65,91397,0.05,1
NSECM,11452,8,CCL,CCL-EQ,EQ,CCL-EQ,1100100011452,305.25,203.55,392964,0.05,1
NSECM,16292,8,PANACHE,PANACHE-EQ,EQ,PANACHE-EQ,1100100016292,61.8,41.2,392399,0.05,1
NSECM,11671,8,PRESSMN,PRESSMN-EQ,EQ,PRESSMN-EQ,1100100011671,28.05,18.75,767888,0.05,1
NSECM,21614,8,ABCAPITAL,ABCAPITAL-EQ,EQ,ABCAPITAL-EQ,1100100021614,154,102.7,777616,0.05,1
NSECM,19205,8,TMRVL,TMRVL-EQ,EQ,TMRVL-EQ,1100100019205,16,14.5,722101,0.05,1
NSECM,2739,8,PRSMJOHNSN,PRSMJOHNSN-EQ,EQ,PRSMJOHNSN-EQ,1100100002739,142.4,95,842115,0.05,1
NSECM,14947,8,MOTILALOFS,MOTILALOFS-EQ,EQ,MOTILALOFS-EQ,1100100014947,795.15,530.15,150786,0.05,1
NSECM,16639,8,KIRIINDUS,KIRIINDUS-EQ,EQ,KIRIINDUS-EQ,1100100016639,562.3,374.9,213390,0.05,1
NSECM,17875,8,GODREJPROP,GODREJPROP-EQ,EQ,GODREJPROP-EQ,1100100017875,1563.4,1279.2,70330,0.05,1
NSECM,9685,8,TRIDENT,TRIDENT-EQ,EQ,TRIDENT-EQ,1100100009685,17.3,14.2,6344464,0.05,1
NSECM,22277,8,WORTH,WORTH-EQ,EQ,WORTH-EQ,1100100022277,66.8,44.6,515057,0.05,1
NSECM,14058,8,SANGHVIMOV,SANGHVIMOV-EQ,EQ,SANGHVIMOV-EQ,1100100014058,136.5,91,879092,0.05,1
NSECM,14567,8,BFUTILITIE,BFUTILITIE-EQ,EQ,BFUTILITIE-EQ,1100100014567,330.8,220.6,362701,0.05,1
NSECM,11233,8,SUVEN,SUVEN-EQ,EQ,SUVEN-EQ,1100100011233,88.6,72.5,1241386,0.05,1
NSECM,21095,8,SPYL,SPYL-EQ,EQ,SPYL-EQ,1100100021095,0.45,0.35,11271689,0.05,1
NSECM,760,8,CGPOWER,CGPOWER-EQ,EQ,CGPOWER-EQ,1100100000760,66.05,59.85,1588203,0.05,1
NSECM,13658,8,GEECEE,GEECEE-EQ,EQ,GEECEE-EQ,1100100013658,126,84,683813,0.05,1
NSECM,16927,8,JOCIL,JOCIL-EQ,EQ,JOCIL-EQ,1100100016927,184.9,123.3,290413,0.05,1
NSECM,2124,8,MASTEK,MASTEK-EQ,EQ,MASTEK-EQ,1100100002124,1557.65,1038.45,77023,0.05,1
NSECM,2598,8,AMJLAND,AMJLAND-EQ,EQ,AMJLAND-EQ,1100100002598,29.85,19.95,1340699,0.05,1
NSECM,11927,8,NECLIFE,NECLIFE-EQ,EQ,NECLIFE-EQ,1100100011927,24.4,16.3,4913782,0.05,1
NSECM,11979,8,HTMEDIA,HTMEDIA-EQ,EQ,HTMEDIA-EQ,1100100011979,27.25,22.35,4032131,0.05,1
NSECM,29430,8,ANKITMETAL,ANKITMETAL-EQ,EQ,ANKITMETAL-EQ,1100100029430,1.2,1.1,4614313,0.05,1
NSECM,18422,8,ASIANHOTNR,ASIANHOTNR-EQ,EQ,ASIANHOTNR-EQ,1100100018422,84.05,56.05,636120,0.05,1
NSECM,4522,8,SIGIND,SIGIND-EQ,EQ,SIGIND-EQ,1100100004522,39.15,26.15,962589,0.05,1
NSECM,13510,8,AKASH,AKASH-EQ,EQ,AKASH-EQ,1100100013510,239.7,196.2,458812,0.05,1
NSECM,15342,8,SHALPAINTS,SHALPAINTS-EQ,EQ,SHALPAINTS-EQ,1100100015342,109.25,72.85,1098277,0.05,1
NSECM,3721,8,TATACOMM,TATACOMM-EQ,EQ,TATACOMM-EQ,1100100003721,1457.75,971.85,82079,0.05,1
NSECM,11220,8,VARDHACRLC,VARDHACRLC-EQ,EQ,VARDHACRLC-EQ,1100100011220,46.9,31.3,2557495,0.05,1
NSECM,10453,8,SATIN,SATIN-EQ,EQ,SATIN-EQ,1100100010453,102.8,93.1,1020885,0.05,1
NSECM,12489,8,SWSOLAR,SWSOLAR-EQ,EQ,SWSOLAR-EQ,1100100012489,339.1,226.1,353754,0.05,1
NSECM,13880,8,BANCOINDIA,BANCOINDIA-EQ,EQ,BANCOINDIA-EQ,1100100013880,189.8,126.6,632081,0.05,1
NSECM,1011,8,SCHAEFFLER,SCHAEFFLER-EQ,EQ,SCHAEFFLER-EQ,1100100001011,6372.4,4248.3,18818,0.05,1
NSECM,14667,8,KMSUGAR,KMSUGAR-EQ,EQ,KMSUGAR-EQ,1100100014667,14.5,9.7,3008405,0.05,1
NSECM,14511,8,BANSWRAS,BANSWRAS-EQ,EQ,BANSWRAS-EQ,1100100014511,130.45,106.75,559694,0.05,1
NSECM,18110,8,VASCONEQ,VASCONEQ-EQ,EQ,VASCONEQ-EQ,1100100018110,21.05,17.25,5221899,0.05,1
NSECM,3546,8,TTKPRESTIG,TTKPRESTIG-EQ,EQ,TTKPRESTIG-EQ,1100100003546,9085.3,6056.9,13196,0.05,1
NSECM,10,8,ABAN,ABAN-EQ,EQ,ABAN-EQ,1100100000010,39.5,35.8,1908546,0.05,1
NSECM,17105,8,SUMICHEM,SUMICHEM-EQ,EQ,SUMICHEM-EQ,1100100017105,329.4,219.6,363877,0.05,1
NSECM,1633,8,IPCALAB,IPCALAB-EQ,EQ,IPCALAB-EQ,1100100001633,2303.1,1535.4,52009,0.05,1
NSECM,2705,8,PRAJIND,PRAJIND-EQ,EQ,PRAJIND-EQ,1100100002705,203.2,135.5,590364,0.05,1
